S[1];S[];S[1]
S[1];S[1];S[1,1]+S[2]
S[1];S[1,1];S[2,1]
S[1];S[2];S[2,1]+S[3]
S[1];S[2,1];2*S[3,1]+S[4]
S[1];S[3];S[3,1]+2*S[4]
S[1];S[3,1];S[3,2]+S[4,1]
S[1];S[3,2];S[4,2]
S[1];S[4];S[4,1]+S[]*q
S[1];S[4,1];S[1]*q+S[4,2]
S[1];S[4,2];S[2]*q+S[4,3]
S[1];S[4,3];S[3]*q
S[2];S[];S[2]
S[2];S[1];S[2,1]+S[3]
S[2];S[1,1];S[3,1]+S[4]
S[2];S[2];2*S[3,1]+2*S[4]
S[2];S[2,1];S[3,2]+2*S[4,1]+S[]*q
S[2];S[3];S[3,2]+2*S[4,1]+S[]*q
S[2];S[3,1];S[1]*q+S[4,2]
S[2];S[3,2];S[2]*q
S[2];S[4];S[1]*q+S[4,2]
S[2];S[4,1];S[4,3]+q*(S[1,1]+S[2])
S[2];S[4,2];q*(S[2,1]+S[3])
S[2];S[4,3];q*(S[3,1]+S[4])
S[3];S[];S[3]
S[3];S[1];S[3,1]+2*S[4]
S[3];S[1,1];S[4,1]+S[]*q
S[3];S[2];S[3,2]+2*S[4,1]+S[]*q
S[3];S[2,1];2*S[1]*q+S[4,2]
S[3];S[3];S[1]*q+2*S[4,2]
S[3];S[3,1];q*(S[1,1]+S[2])
S[3];S[3,2];S[2,1]*q
S[3];S[4];S[2]*q+S[4,3]
S[3];S[4,1];q*(S[2,1]+S[3])
S[3];S[4,2];q*(2*S[3,1]+S[4])
S[3];S[4,3];q*(S[3,2]+S[4,1])
S[4];S[];S[4]
S[4];S[1];S[4,1]+S[]*q
S[4];S[1,1];S[1]*q
S[4];S[2];S[1]*q+S[4,2]
S[4];S[2,1];q*(S[1,1]+S[2])
S[4];S[3];S[2]*q+S[4,3]
S[4];S[3,1];S[2,1]*q
S[4];S[3,2];S[3,1]*q
S[4];S[4];S[3]*q
S[4];S[4,1];q*(S[3,1]+S[4])
S[4];S[4,2];q*(S[3,2]+S[4,1])
S[4];S[4,3];S[4,2]*q
